p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,t0,t1,t2,t3,t4,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,16,80,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,1600,1800,2000,2200,2400,69.1674155,218.40437722206116
 , , ,96,2048,4, , , , ,1600,1800,2000,2200,2400,2.3634364999999997,266.2936203479767
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,2048,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,1600,1800,2000,2200,2400,3.399866,332.37636375427246
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,100,256, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,78.7563125,627.6731908321381
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,32,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,8.259418499999999,694.2011630535126
 , , ,4,2048,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,1600,1800,2000,2200,2400,10.438011,763.0526270866394
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,2048,8, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,10.459305,830.708663225174
 , , ,32,64,4, , , , ,1600,1800,2000,2200,2400,2.358148,873.7329113483429
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,100,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,1600,1800,2000,2200,2400,3.807702,937.8345894813538
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,4, , , , ,1600,1800,2000,2200,2400,9.5085885,1011.5010142326356
